uptime_s,free_mb,total_mb,percent,tensor_layers,metal_broken
 5, 6138, 12124, 51,-1,0
 5, 6138, 12124, 51,-1,0
 5, 6138, 12124, 51,-1,0
 5, 6138, 12124, 51,-1,0
 5, 6138, 12124, 51,-1,0
 5, 6138, 12124, 51,-1,0
 5, 6138, 12124, 51,-1,0
 5, 6138, 12124, 51,-1,0
 5, 6138, 12124, 51,-1,0
 5, 6138, 12124, 51,-1,0
 6, 6138, 12124, 51,-1,0
 6, 6138, 12124, 51,-1,0
 6, 6138, 12124, 51,-1,0
 6, 6138, 12124, 51,-1,0
 6, 6138, 12124, 51,-1,0
 6, 6138, 12124, 51,-1,0
 6, 6138, 12124, 51,-1,0
 6, 6138, 12124, 51,-1,0
 6, 6138, 12124, 51,-1,0
 6, 6138, 12124, 51,-1,0
 7, 6138, 12124, 51,-1,0
 7, 6138, 12124, 51,-1,0
 7, 6138, 12124, 51,-1,0
 7, 6138, 12124, 51,-1,0
 7, 6138, 12124, 51,-1,0
 7, 6138, 12124, 51,-1,0
 7, 6138, 12124, 51,-1,0
 7, 6138, 12124, 51,-1,0
 7, 6138, 12124, 51,-1,0
 7, 6138, 12124, 51,-1,0
 8, 5534, 12124, 46,-1,0
 8, 5422, 12124, 45,-1,0
 8, 5273, 12124, 43,-1,0
 8, 5134, 12124, 42,-1,0
 8, 5134, 12124, 42,-1,0
 8, 5134, 12124, 42,-1,0
 8, 5134, 12124, 42,-1,0
 8, 5134, 12124, 42,-1,0
 8, 5134, 12124, 42,-1,0
 8, 5134, 12124, 42,-1,0
 9, 5134, 12124, 42,-1,0
 9, 5134, 12124, 42,-1,0
 9, 5134, 12124, 42,-1,0
 9, 5134, 12124, 42,-1,0
 9, 5134, 12124, 42,-1,0
 9, 5134, 12124, 42,-1,0
 9, 5134, 12124, 42,-1,0
 9, 5134, 12124, 42,-1,0
 9, 5134, 12124, 42,-1,0
 9, 5134, 12124, 42,-1,0
