uptime_s,free_mb,total_mb,percent
 1, 275, 16384, 98
 1, 275, 16384, 98
 1, 144, 16384, 99
 1, 175, 16384, 99
 1, 175, 16384, 99
 2, 175, 16384, 99
 2, 175, 16384, 99
 2, 175, 16384, 99
 2, 175, 16384, 99
 2, 175, 16384, 99
 2, 175, 16384, 99
 2, 175, 16384, 99
 2, 249, 16384, 98
 2, 261, 16384, 98
 2, 281, 16384, 98
 3, 281, 16384, 98
 3, 281, 16384, 98
 3, 281, 16384, 98
 3, 281, 16384, 98
 3, 281, 16384, 98
 3, 281, 16384, 98
 3, 281, 16384, 98
 3, 271, 16384, 98
 3, 271, 16384, 98
 3, 271, 16384, 98
 4, 271, 16384, 98
 4, 271, 16384, 98
 4, 271, 16384, 98
 4, 271, 16384, 98
 4, 271, 16384, 98
 4, 271, 16384, 98
 4, 271, 16384, 98
 4, 199, 16384, 99
 4, 229, 16384, 99
 4, 229, 16384, 99
 5, 229, 16384, 99
 5, 229, 16384, 99
 5, 229, 16384, 99
 5, 229, 16384, 99
 5, 229, 16384, 99
 5, 229, 16384, 99
 5, 229, 16384, 99
 5, 236, 16384, 99
 5, 236, 16384, 99
 5, 236, 16384, 99
 6, 236, 16384, 99
 6, 236, 16384, 99
 6, 236, 16384, 99
 6, 236, 16384, 99
 6, 236, 16384, 99
 6, 236, 16384, 99
 6, 236, 16384, 99
 6, 232, 16384, 99
 6, 240, 16384, 99
 6, 240, 16384, 99
 7, 240, 16384, 99
 7, 240, 16384, 99
 7, 240, 16384, 99
 7, 240, 16384, 99
 7, 240, 16384, 99
 7, 240, 16384, 99
 7, 240, 16384, 99
 7, 118, 16384, 99
 7, 186, 16384, 99
 7, 186, 16384, 99
 8, 186, 16384, 99
 8, 186, 16384, 99
 8, 186, 16384, 99
 8, 186, 16384, 99
 8, 186, 16384, 99
 8, 186, 16384, 99
 8, 186, 16384, 99
 8, 143, 16384, 99
 8, 143, 16384, 99
 8, 143, 16384, 99
 8, 143, 16384, 99
 8, 143, 16384, 99
 8, 143, 16384, 99
 8, 143, 16384, 99
 8, 143, 16384, 99
 8, 143, 16384, 99
 9, 1290, 16384, 92
 9, 1367, 16384, 92
 9, 1367, 16384, 92
 9, 1367, 16384, 92
 9, 1367, 16384, 92
 9, 1367, 16384, 92
 9, 1367, 16384, 92
 9, 1367, 16384, 92
 9, 1367, 16384, 92
 9, 1367, 16384, 92
 10, 1027, 16384, 94
 10, 969, 16384, 94
 10, 969, 16384, 94
 10, 969, 16384, 94
 10, 969, 16384, 94
 10, 969, 16384, 94
 10, 969, 16384, 94
 10, 969, 16384, 94
 10, 969, 16384, 94
 10, 969, 16384, 94
 11, 354, 16384, 98  11, 354, 16384, 9 1 11, 354, 16384,  1, 11, 354, 16384, 1,  11, 354, 16384 2, 3 11, 354, 1638 2, 35 11, 354, 163 2, 354 11, 354, 16 2, 354, 11, 354, 1 2, 354,  11, 354,  2, 354, 1 12, 298, 2, 289, 16 12, 289 2, 289, 163 12, 28 2, 289, 1638 12, 2 2, 289, 16384 12,  3, 289, 16384, 12, 3, 289, 16384,  12 3, 289, 16384, 9 1 3, 289, 16384, 98  3, 289, 16384, 98
 3, 289, 16384, 98
 3, 342, 16384, 98
 3, 259, 16384, 98
 3, 266, 16384, 98
 4, 266, 16384, 98
 4, 266, 16384, 98
 4, 266, 16384, 98
 4, 266, 16384, 98
 4, 266, 16384, 98
 4, 266, 16384, 98
 4, 266, 16384, 98
 4, 247, 16384, 98
 4, 253, 16384, 98
 4, 253, 16384, 98
 5, 253, 16384, 98
 5, 253, 16384, 98
 5, 253, 16384, 98
 5, 253, 16384, 98
 5, 253, 16384, 98
 5, 253, 16384, 98
 5, 253, 16384, 98
 5, 231, 16384, 99
 5, 231, 16384, 99
 5, 231, 16384, 99
 6, 231, 16384, 99
 6, 231, 16384, 99
 6, 231, 16384, 99
 6, 231, 16384, 99
 6, 231, 16384, 99
 6, 231, 16384, 99
 6, 231, 16384, 99
 6, 239, 16384, 99
 6, 211, 16384, 99
 6, 211, 16384, 99
 7, 211, 16384, 99
 7, 211, 16384, 99
 7, 211, 16384, 99
 7, 211, 16384, 99
 7, 211, 16384, 99
 7, 211, 16384, 99
 7, 211, 16384, 99
 7, 194, 16384, 99
 7, 172, 16384, 99
 7, 172, 16384, 99
 8, 172, 16384, 99
 8, 172, 16384, 99
 8, 172, 16384, 99
 8, 172, 16384, 99
 8, 172, 16384, 99
 8, 172, 16384, 99
 8, 172, 16384, 99
 8, 595, 16384, 96
, 16384, 99
 18, 172, 16384, 99
 18, 490, 16384, 97
 18, 592, 16384, 96
 18, 592, 16384, 96
 18, 592, 16384, 96
 18, 592, 16384, 96
 18, 592, 16384, 96
 18, 592, 16384, 96
 18, 592, 16384, 96
 18, 592, 16384, 96
 19, 592, 16384, 96
 19, 218, 16384, 99
 19, 228, 16384, 99
 19, 228, 16384, 99
 19, 228, 16384, 99
 19, 228, 16384, 99
 19, 228, 16384, 99
 19, 228, 16384, 99
 19, 228, 16384, 99
 19, 228, 16384, 99
 20, 369, 16384, 98
 20, 369, 16384, 98
 20, 369, 16384, 98
 20, 369, 16384, 98
 20, 369, 16384, 98
 20, 369, 16384, 98
 20, 369, 16384, 98
 20, 369, 16384, 98
 20, 369, 16384, 98
 20, 369, 16384, 98
 21, 317, 16384, 98
 21, 309, 16384, 98
 21, 317, 16384, 98
 21, 317, 16384, 98
 21, 317, 16384, 98
 21, 317, 16384, 98
 21, 317, 16384, 98
 21, 317, 16384, 98
 21, 317, 16384, 98
 22, 317, 16384, 98
 22, 363, 16384, 98
 22, 363, 16384, 98
 22, 360, 16384, 98
 22, 367, 16384, 98
 22, 367, 16384, 98
 22, 367, 16384, 98
 22, 367, 16384, 98
 22, 367, 16384, 98
 22, 367, 16384, 98
 23, 367, 16384, 98
 23, 309, 16384, 98
 23, 312, 16384, 98
 23, 312, 16384, 98
 23, 312, 16384, 98
 23, 312, 16384, 98
 23, 312, 16384, 98
 23, 312, 16384, 98
 23, 312, 16384, 98
 23, 312, 16384, 98
 24, 312, 16384, 98
 24, 442, 16384, 97
 24, 373, 16384, 98
 24, 373, 16384, 98
 24, 373, 16384, 98
 24, 373, 16384, 98
 24, 373, 16384, 98
 24, 373, 16384, 98
 24, 373, 16384, 98
 24, 373, 16384, 98
 25, 427, 16384, 97
 25, 1677, 16384, 90
 25, 1677, 16384, 90
 25, 1677, 16384, 90
 25, 1677, 16384, 90
 25, 1677, 16384, 90
 25, 1677, 16384, 90
 25, 1677, 16384, 90
 25, 1677, 16384, 90
 25, 1677, 16384, 90
 26, 1679, 16384, 90
 26, 1678, 16384, 90
 26, 1678, 16384, 90
 26, 1678, 16384, 90
 26, 1678, 16384, 90
 26, 1678, 16384, 90
 26, 1678, 16384, 90
 26, 1678, 16384, 90
 26, 1678, 16384, 90
 26, 1678, 16384, 90
 27, 1374, 16384, 92
 27, 1346, 16384, 92
 27, 1346, 16384, 92
 27, 1346, 16384, 92
 27, 1346, 16384, 92
 27, 1346, 16384, 92
 27, 1346, 16384, 92
 27, 1346, 16384, 92
 27, 1346, 16384, 92
 27, 1346, 16384, 92
 28, 1147, 16384, 93
 28, 1135, 16384, 93
 28, 1135, 16384, 93
 28, 1135, 16384, 93
 28, 1135, 16384, 93
 28, 1135, 16384, 93
 28, 1135, 16384, 93
 28, 1135, 16384, 93
 28, 1135, 16384, 93
 29, 1135, 16384, 93
 29, 1095, 16384, 93
 29, 1093, 16384, 93
 29, 1093, 16384, 93
 29, 1093, 16384, 93
 29, 1093, 16384, 93
 29, 1093, 16384, 93
 29, 1093, 16384, 93
 29, 1093, 16384, 93
 29, 1093, 16384, 93
 30, 1093, 16384, 93
 30, 999, 16384, 94
 30, 999, 16384, 94
 30, 999, 16384, 94
 30, 999, 16384, 94
 30, 999, 16384, 94
 30, 999, 16384, 94
 30, 999, 16384, 94
 30, 999, 16384, 94
 30, 999, 16384, 94
 31, 999, 16384, 94
 31, 776, 16384, 95
 31, 728, 16384, 96
 31, 712, 16384, 96
 31, 712, 16384, 96
 31, 712, 16384, 96
 31, 712, 16384, 96
 31, 712, 16384, 96
 31, 712, 16384, 96
 31, 712, 16384, 96
 32, 712, 16384, 96
 32, 627, 16384, 96
 32, 546, 16384, 97
 32, 517, 16384, 97
 32, 517, 16384, 97
 32, 517, 16384, 97
